articleFileName,citationNumCrossRef,citationSourceCrossRef,CitationNumGoogle
"2008auh_shih_yoon@journal of consumer psychology~aligning benefits with payments - a test of the pattern alignment hypothesis",8,"<Psychology & Marketing><Journal of Consumer Research><Journal of Enterprise Information Management><SSRN Electronic Journal><International Journal of Research in Marketing><Journal of Consumer Psychology><Journal of Consumer Marketing><Journal of Marketing Research>",15
"2008bagozzi@journal of consumer psychology~some insights on visual and verbal processing strategies",14,"<Consumer Psychology Review><Psychology & Marketing><British Food Journal><Revista de Administração de Empresas><Journal of Advertising><Revista de Administração Contemporânea><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><European Journal of Psychology of Education>",27
"2008baumeister@journal of consumer psychology~social reality and the hole in determinism",10,"<Journal of Service Research><Journal of the Association for Consumer Research><Neuroscience, Consciousness and Spirituality><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Business Ethics>",12
"2008baumeister_sparks_stillman_vohs@journal of consumer psychology~free will in consumer behavior - self-control, ego depletion, and choice",156,"<Journal of Consumer Psychology><Health Communication><Food Research International><Advances in Psychology and Law><Cognition and Emotion><Proceedings of the Second International Conference on the Future of ASEAN (ICoFA) 2017 - Volume 1><Review of Marketing Science><Journal of Consumer Affairs><Fundamentals of Cognitive Neuroscience><Young Consumers><Personality and Social Psychology Bulletin><Journal of Business Research><Customer Needs and Solutions><Journal of Advertising Research><Journal of Managerial Psychology><International Journal of Consumer Studies><Psychology of Sport and Exercise><International Journal of Speech-Language Pathology><Journal of Computational Social Science><Consumer Psychology Review><Consciousness and Cognition><Theoretical Economics Letters><Journal of Business Ethics><Computers in Human Behavior><Personality and Individual Differences><International Journal of Human–Computer Interaction><Ethics and Neuromarketing><Organizational Behavior and Human Decision Processes><Organization Science><Self and Identity><Journal of Consumer Research><SSRN Electronic Journal><Social and Personality Psychology Compass><Journal of Consumer Psychology><Journal of Consumer Behaviour><International Journal of Mental Health and Addiction><Financial Crimes: Psychological, Technological, and Ethical Issues><Neuroeconomics and the Decision-Making Process><Personality and Individual Differences><Social Informatics><Journal of Economic Psychology><International Journal of Research in Marketing><Journal of Service Research><Eating Behaviors><Renewing Liberalism><Marktpsychologie><Journal of Consumer Psychology><Journal of the Association for Consumer Research><A Companion to Experimental Philosophy><Crime, Media, Culture: An International Journal><Journal of Public Policy & Marketing><Procedia - Social and Behavioral Sciences><Appetite><Consciousness and Cognition><Journal of Economic Behavior & Organization><Psychologie Française><Journal of Economic Psychology><BioSocieties><Journal of Consumer Psychology><Wirtschaftspsychologie><Canadian Journal of Administrative Sciences / Revue Canadienne des Sciences de l'Administration><Journal of Behavioral Decision Making><Organizational Behavior and Human Decision Processes><Journal of Experimental Social Psychology><Journal of Business Ethics><Communication Research><Humanistic Marketing><Consciousness and Cognition><Journal of Consumer Marketing><Journal of Business Ethics><Applied Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Community Health><Fundamentals of Cognitive Neuroscience><Journal of Consumer Research><International Journal of Market Research><Public Health Nutrition><Journal of Business Ethics><Young Consumers><Revista Crítica de Ciências Sociais><Nordic Psychology><Behavioral and Brain Sciences><SSRN Electronic Journal><SSRN Electronic Journal><Psychologie der Wirtschaft><The Milbank Quarterly><Journal of Consumer Affairs><Journal of Consumer Psychology><Psychology & Marketing><Journal of Behavioral Decision Making><Addiction Neuroethics><Organizational Behavior and Human Decision Processes><Journal of Social and Personal Relationships><AMS Review><SSRN Electronic Journal><Journal of Marketing Research><Journal of Marketing Research><Journal of Media Psychology><Journal of Consumer Research><Journal of Marketing Research><European Retail Research><SSRN Electronic Journal><SSRN Electronic Journal><Philosophy and Phenomenological Research><Economic Record><Die Zukunft auf dem Tisch><Journal of Consumption Culture><SSRN Electronic Journal><SSRN Electronic Journal><A Companion to the Philosophy of Action><Wiley International Encyclopedia of Marketing><Cognitive Processing><Australian Accounting Review><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Marketing Letters><Neuroethics><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Frontiers in Psychology><PLOS ONE><International Journal of Environmental Research and Public Health><Europe’s Journal of Psychology><Behavioral Sciences><Journal of Consumer Research><Public Health Nutrition><Corporate Communications: An International Journal><Frontiers in Psychology><Social Sciences><International Journal of Environmental Research and Public Health><Journal of the Academy of Marketing Science><Management Science><Social Science Computer Review><Adaptive Human Behavior and Physiology><Accounting & Finance><Journal of Business Ethics><Journal of Business Ethics>",371
"2008bettman_luce_payne@journal of consumer psychology~preference construction and preference stability - putting the pillow to rest",30,"<Journal of Business Research><Journal of Behavioral Decision Making><Journal of Consumer Psychology><International Journal of Technology and Design Education><Journal of Occupational and Organizational Psychology><Agricultural Economics><Psychological Science><International Journal of Science Education><Procedia Computer Science><Journal of Vocational Behavior><Interaktive Wertschöpfung durch Dienstleistungen><Information Processing & Management><Applied Conjoint Analysis><Wirtschaftsinformatik in Wissenschaft und Praxis><Psychology & Marketing><Journal of Product Innovation Management><Journal of Product Innovation Management><Journal of Service Management><SSRN Electronic Journal><Journal of Consumer Psychology><Journal of Consumer Behaviour><Wiley Interdisciplinary Reviews: Cognitive Science><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Marketing Science>",59
"2008childers_jiang@journal of consumer psychology~neurobiological perspectives on the nature of visual and verbal processes",15,"<Journal of Global Information Management><Internet Research><Media Psychology><NeuroImage><Journal of Consumer Psychology><Social Cognitive and Affective Neuroscience><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology>",30
"2008cho_schwarz@journal of consumer psychology~of great art and untalented artists - effort information and the flexible construction of judgmental heuristics",24,"<Journal of Consumer Psychology><Cognition and Emotion><Journal of Behavioral Decision Making><International Journal of Research in Marketing><Journal of Applied Social Psychology><Personality and Individual Differences><Psychology & Marketing><Journal of Consumer Psychology><Cognitive Science><Journal of Consumer Research><Personality and Social Psychology Bulletin><Journal of Marketing Research><Journal of Behavioral Decision Making><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Research><Synthese>",55
"2008cohen_belyavsky_silk@journal of consumer psychology~using visualization to alter the balance between desirability and feasibility during choice",9,"<Asian Journal of Communication><Journal of Consumer Behaviour><Journal of Consumer Research><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Health Marketing Quarterly>",17
"2008dhar_novemsky@journal of consumer psychology~beyond rationality - the content of preferences",15,"<Journal of Behavioral Decision Making><Cornell Hospitality Quarterly><Közgazdasági Szemle><Journal of Consumer Psychology><SSRN Electronic Journal><Food Quality and Preference><Journal of Business Research><Journal of Consumer Psychology><Journal of Happiness Studies><Journal of Sport Management><Wiley Interdisciplinary Reviews: Cognitive Science><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Product & Brand Management>",40
"2008fedorikhin_park_thomson@journal of consumer psychology~beyond fit and attitude - the effect of emotional attachment on consumer responses to brand extensions",125,"<Advances in Affective and Pleasurable Design><Journal of Retailing and Consumer Services><Evaluating Mental Workload for Improved Workplace Performance><Brand Culture and Identity><International Journal of Information Management><Journal of Destination Marketing & Management><Handbuch Markenführung><Journal of Retailing and Consumer Services><Journal of Product & Brand Management><Psychology & Marketing><European Business Review><Tourism Management Perspectives><Australasian Marketing Journal (AMJ)><Journal of Product & Brand Management><Economic Research-Ekonomska Istraživanja><Driving Customer Appeal Through the Use of Emotional Branding><Review of Managerial Science><Analyzing Attachment and Consumers' Emotions><Telematics and Informatics><Journal of Strategic Marketing><Journal of Hospitality & Tourism Research><Journal of Brand Management><Journal of Quality Assurance in Hospitality & Tourism><Journal of Service Research><Applying Partial Least Squares in Tourism and Hospitality Research><HCI in Business, Government, and Organizations><Computers in Human Behavior><Journal of Place Management and Development><Journal of the Association for Consumer Research><Journal of the Association for Consumer Research><European Journal of Marketing><Journal of Consumer Behaviour><Journal of Consumer Psychology><Psychology & Marketing><Journal of the Academy of Marketing Science><Asia Branding><Journal of Personal Selling & Sales Management><Service Science><Information Development><European Journal of Marketing><Journal of Product & Brand Management><The Korean Journal of Consumer and Advertising Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Information & Management><Journal of Korea Service Management Society><Journal of Business Research><European Journal of Marketing><Journal of Consumer Marketing><Journal of Brand Management><Journal of Travel & Tourism Marketing><AMS Review><Recherche et Applications en Marketing (English Edition)><Journal of Product & Brand Management><Journal of Business Economics and Management><Handbuch Markenführung><Journal of Consumer Psychology><Journal of Business Economics><International Journal of Fashion Design, Technology and Education><Journal of Marketing Management><Journal of Business Research><Journal of Product & Brand Management><Qualitative Market Research: An International Journal><International Journal of Advertising><International Journal of Hospitality Management><International Journal of Social Economics><Analyzing the Cultural Diversity of Consumers in the Global Marketplace><Cornell Hospitality Quarterly><Journal of Fashion Marketing and Management: An International Journal><Journal of Travel Research><Sport Management Review><Journal of Strategic Marketing><Procedia - Social and Behavioral Sciences><Journal of Hospitality & Tourism Research><Sport, Business and Management: An International Journal><Journal of Brand Management><Journal of Brand Management><European Management Journal><International Journal of Tourism Research><Psychology & Marketing><International Journal of Quality and Service Sciences><Review of Marketing Research><Journal of Brand Management><Journal of Global Scholars of Marketing Science><Journal of Consumer Behaviour><Journal of Brand Management><Journal of Business Research><Journal of Consumer Psychology><Journal of Consumer Psychology><Revista de Administração Contemporânea><European Journal of Marketing><Journal of Service Research><International Business Review><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Marketing><Journal of Consumer Marketing><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><International Journal of Research in Marketing><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Research><Journal of Strategic Marketing><Journal of Marketing Management><Revista de Administração de Empresas><International Journal of Contemporary Hospitality Management><Administrative Sciences><Journal of Product & Brand Management><European Journal of Marketing><Journal of Consumer Research><European Journal of Marketing><Journal of Marketing Research><Journal of Promotion Management><Internet Research><AMS Review><International Journal of Hospitality & Tourism Administration>",305
