Article;Absolutes;Achievement;Avg_sent_length;Confidence;Empathy;Endophoric;Evidence;First_Person;FRE;Hedges;Intext_citations;Negate;Negative_emotions;Num_Authors;Pvalues;Page_length;Polarity;Ref_Diversity;Reward;Sample;Sensory;Subjectivity;Third_Person;Time_Delta;Volume;Word_count;Special;citationNumCrossRef;CitationNumGoogle;Rank
art_1;0.01;0.09;37.4;0;0;0;0;0.02;25.05;0.02;76;0.01;0.03;3;3;10;0.146;0.31;0.07;70;0;0.468;0.04;140;18;8940;0;125;305;1
art_2;0.01;0.09;30.6;0;0.01;0.02;0.01;0;31.96;0.01;65;0.01;0.02;2;2;10;0.129;0.45;0.06;33;0.01;0.408;0.05;143;18;7348;0;48;101;2
art_3;0;0.11;33.8;0;0;0.01;0.01;0.01;20.25;0.01;55;0;0.02;2;3;10;0.213;0.39;0.07;158;0;0.452;0.06;146;18;7944;0;86;221;1
art_4;0.01;0.06;24.9;0;0.01;0.01;0;0.01;29.28;0.02;53;0.01;0.08;2;4;9;0.082;0.55;0.03;23;0;0.413;0.04;146;18;7584;0;29;52;2
art_5;0.01;0.21;32.1;0;0.01;0;0;0;30.43;0.01;43;0.01;0.04;1;2;15;0.059;0.44;0.1;60;0;0.442;0.04;140;18;12426;0;31;63;2
art_6;0.01;0.06;32.9;0;0;0.01;0;0.01;21.16;0.02;59;0.02;0.03;2;2;12;0.04;0.34;0.03;45;0;0.412;0.03;140;18;9172;0;86;185;3
art_7;0.03;0.07;35.9;1;0.01;0.01;0.01;0.01;18.12;0.03;39;0.02;0.02;3;0;12;0.082;0.38;0.07;33;0;0.451;0.04;146;18;9308;0;65;164;3
art_8;0.02;0.09;35.2;0;0;0.01;0.01;0.01;18.83;0.01;68;0.01;0.02;2;4;16;0.15;0.52;0.11;15;0;0.537;0.04;149;18;11826;0;68;160;1
art_9;0;0.04;31.9;0;0;0.01;0.01;0.01;30.64;0.02;18;0.01;0.01;3;3;8;0.077;0.73;0.02;30;0;0.395;0.03;131;19;6506;0;17;55;17
art_10;0;0.13;37.5;0;0.01;0.01;0.01;0.01;24.95;0.02;48;0.01;0.03;3;3;9;0.127;0.49;0.03;24;0;0.347;0.03;137;19;7726;0;14;23;4
art_11;0;0.06;36.8;0;0;0;0;0.01;8.74;0.01;58;0;0.01;1;4;10;0.102;0.34;0.02;90;0;0.399;0.03;131;19;7108;0;18;31;11
art_12;0.01;0.13;34;0;0;0;0;0.01;28.51;0.02;50;0;0.03;3;2;8;0.113;0.38;0.1;71;0;0.456;0.05;131;19;7011;0;4;12;18
art_13;0.01;0.05;35.9;0;0.01;0.01;0;0.02;18.12;0.02;43;0.01;0;2;0;13;0.052;0.54;0.01;34;0;0.355;0.03;134;19;9859;0;33;45;1
art_14;0.02;0.11;37.9;0;0;0;0;0.01;16.09;0.01;42;0.01;0.06;2;2;7;0.107;0.21;0.12;94;0;0.489;0.04;131;19;5226;0;10;19;4
art_15;0.01;0.07;37.1;0;0;0.01;0;0.01;25.36;0.02;35;0.01;0.03;2;2;12;0.119;0.46;0.07;126;0;0.447;0.04;134;19;10605;0;3;13;2
art_16;0.01;0.11;36.8;0;0;0;0;0;17.2;0.02;49;0.02;0.01;3;3;13;0.097;0.68;0.11;15;0;0.463;0.04;128;19;9851;0;5;9;3
art_17;0.02;0.07;40.3;0;0;0;0;0.01;13.65;0.02;51;0.01;0.03;4;4;9;0.088;0.31;0.06;49;0;0.34;0.07;134;19;7620;0;17;41;5
art_18;0.01;0.18;31.9;0;0;0;0;0;22.18;0.02;40;0.01;0.01;2;2;8;0.063;0.5;0.09;136;0;0.427;0.04;128;19;5996;0;13;23;5
art_19;0.01;0.14;29.5;0;0.01;0.03;0.01;0.01;24.61;0.01;60;0.01;0.02;2;2;10;0.11;0.43;0.08;89;0;0.51;0.06;128;19;7309;0;109;224;1
art_20;0.01;0.06;32.7;0;0;0;0;0.01;29.82;0.02;47;0.01;0.01;3;2;10;0.098;0.61;0.03;68;0;0.438;0.06;131;19;7203;0;63;155;3
art_21;0.03;0.09;32;0;0;0.01;0.01;0.02;22.08;0.02;35;0.01;0.01;2;4;9;0.04;0.44;0.08;72;0.01;0.517;0.05;128;19;6822;0;18;35;2
